SELECT * FROM `permisos`;


id_permiso	permiso	etiqueta	descripcion	kid_tabla	kid_creacion	fecha_creacion	kid_estatus	
78	editar_detalles_cuentas_bancarias	Editar Detalles Cuentas Bancarias	Permiso para Editar Detalles Cuentas Bancarias	20	1	2025-03-14 13:16:28	1	
79	ver_detalles_cuentas_bancarias	Ver Detalles Cuentas Bancarias	Permiso para Ver Detalles Cuentas Bancarias	20	1	2025-03-14 13:16:28	1	
80	eliminar_detalles_cuentas_bancarias	Eliminar Detalles Cuentas Bancarias	Permiso para Eliminar Detalles Cuentas Bancarias	20	1	2025-03-14 13:16:28	1	
81	crear_detalles_listas_compras	Crear Detalles Listas Compras	Permiso para Crear Detalles Listas Compras	21	1	2025-03-14 13:16:28	1	
82	editar_detalles_listas_compras	Editar Detalles Listas Compras	Permiso para Editar Detalles Listas Compras	21	1	2025-03-14 13:16:28	1	
83	ver_detalles_listas_compras	Ver Detalles Listas Compras	Permiso para Ver Detalles Listas Compras	21	1	2025-03-14 13:16:28	1	
84	eliminar_detalles_listas_compras	Eliminar Detalles Listas Compras	Permiso para Eliminar Detalles Listas Compras	21	1	2025-03-14 13:16:28	1	
85	crear_detalles_ordenes_compras	Crear Detalles Ordenes Compras	Permiso para Crear Detalles Ordenes Compras	22	1	2025-03-14 13:16:28	1	
86	editar_detalles_ordenes_compras	Editar Detalles Ordenes Compras	Permiso para Editar Detalles Ordenes Compras	22	1	2025-03-14 13:16:28	1	
87	ver_detalles_ordenes_compras	Ver Detalles Ordenes Compras	Permiso para Ver Detalles Ordenes Compras	22	1	2025-03-14 13:16:28	1	
88	eliminar_detalles_ordenes_compras	Eliminar Detalles Ordenes Compras	Permiso para Eliminar Detalles Ordenes Compras	22	1	2025-03-14 13:16:28	1	
89	crear_detalles_planeaciones_actividades	Crear Detalles Planeaciones Actividades	Permiso para Crear Detalles Planeaciones Actividad...	23	1	2025-03-14 13:16:28	1	
90	editar_detalles_planeaciones_actividades	Editar Detalles Planeaciones Actividades	Permiso para Editar Detalles Planeaciones Activida...	23	1	2025-03-14 13:16:28	1	
91	ver_detalles_planeaciones_actividades	Ver Detalles Planeaciones Actividades	Permiso para Ver Detalles Planeaciones Actividades	23	1	2025-03-14 13:16:28	1	
92	eliminar_detalles_planeaciones_actividades	Eliminar Detalles Planeaciones Actividades	Permiso para Eliminar Detalles Planeaciones Activi...	23	1	2025-03-14 13:16:28	1	
93	crear_detalles_planeaciones_compras	Crear Detalles Planeaciones Compras	Permiso para Crear Detalles Planeaciones Compras	24	1	2025-03-14 13:16:28	1	
94	editar_detalles_planeaciones_compras	Editar Detalles Planeaciones Compras	Permiso para Editar Detalles Planeaciones Compras	24	1	2025-03-14 13:16:28	1	
95	ver_detalles_planeaciones_compras	Ver Detalles Planeaciones Compras	Permiso para Ver Detalles Planeaciones Compras	24	1	2025-03-14 13:16:28	1	
96	eliminar_detalles_planeaciones_compras	Eliminar Detalles Planeaciones Compras	Permiso para Eliminar Detalles Planeaciones Compra...	24	1	2025-03-14 13:16:28	1	
97	crear_detalles_planeaciones_rrhh	Crear Detalles Planeaciones Rrhh	Permiso para Crear Detalles Planeaciones Rrhh	25	1	2025-03-14 13:16:28	1	
98	editar_detalles_planeaciones_rrhh	Editar Detalles Planeaciones Rrhh	Permiso para Editar Detalles Planeaciones Rrhh	25	1	2025-03-14 13:16:28	1	
99	ver_detalles_planeaciones_rrhh	Ver Detalles Planeaciones Rrhh	Permiso para Ver Detalles Planeaciones Rrhh	25	1	2025-03-14 13:16:28	1	
100	eliminar_detalles_planeaciones_rrhh	Eliminar Detalles Planeaciones Rrhh	Permiso para Eliminar Detalles Planeaciones Rrhh	25	1	2025-03-14 13:16:28	1	

101	crear_detalles_proyectos	Crear Detalles Proyectos	Permiso para Crear Detalles Proyectos	26	1	2025-03-14 13:16:28	1	
102	editar_detalles_proyectos	Editar Detalles Proyectos	Permiso para Editar Detalles Proyectos	26	1	2025-03-14 13:16:28	1	
103	ver_detalles_proyectos	Ver Detalles Proyectos	Permiso para Ver Detalles Proyectos	26	1	2025-03-14 13:16:28	1	
104	eliminar_detalles_proyectos	Eliminar Detalles Proyectos	Permiso para Eliminar Detalles Proyectos	26	1	2025-03-14 13:16:28	1	
105	crear_detalles_recepciones_compras	Crear Detalles Recepciones Compras	Permiso para Crear Detalles Recepciones Compras	27	1	2025-03-14 13:16:28	1	
106	editar_detalles_recepciones_compras	Editar Detalles Recepciones Compras	Permiso para Editar Detalles Recepciones Compras	27	1	2025-03-14 13:16:28	1	
107	ver_detalles_recepciones_compras	Ver Detalles Recepciones Compras	Permiso para Ver Detalles Recepciones Compras	27	1	2025-03-14 13:16:28	1	
108	eliminar_detalles_recepciones_compras	Eliminar Detalles Recepciones Compras	Permiso para Eliminar Detalles Recepciones Compras	27	1	2025-03-14 13:16:28	1	
109	crear_dimensiones	Crear Dimensiones	Permiso para Crear Dimensiones	28	1	2025-03-14 13:16:28	1	
110	editar_dimensiones	Editar Dimensiones	Permiso para Editar Dimensiones	28	1	2025-03-14 13:16:28	1	
111	ver_dimensiones	Ver Dimensiones	Permiso para Ver Dimensiones	28	1	2025-03-14 13:16:28	1	
112	eliminar_dimensiones	Eliminar Dimensiones	Permiso para Eliminar Dimensiones	28	1	2025-03-14 13:16:28	1	
113	crear_empresas	Crear Empresas	Permiso para Crear Empresas	29	1	2025-03-14 13:16:28	1	
114	editar_empresas	Editar Empresas	Permiso para Editar Empresas	29	1	2025-03-14 13:16:28	1	
115	ver_empresas	Ver Empresas	Permiso para Ver Empresas	29	1	2025-03-14 13:16:28	1	
116	eliminar_empresas	Eliminar Empresas	Permiso para Eliminar Empresas	29	1	2025-03-14 13:16:28	1	
117	crear_estados	Crear Estados	Permiso para Crear Estados	30	1	2025-03-14 13:16:28	1	
118	editar_estados	Editar Estados	Permiso para Editar Estados	30	1	2025-03-14 13:16:28	1	
119	ver_estados	Ver Estados	Permiso para Ver Estados	30	1	2025-03-14 13:16:28	1	
120	eliminar_estados	Eliminar Estados	Permiso para Eliminar Estados	30	1	2025-03-14 13:16:28	1	
121	crear_estatus	Crear Estatus	Permiso para Crear Estatus	31	1	2025-03-14 13:16:28	1	
122	editar_estatus	Editar Estatus	Permiso para Editar Estatus	31	1	2025-03-14 13:16:28	1	
123	ver_estatus	Ver Estatus	Permiso para Ver Estatus	31	1	2025-03-14 13:16:28	1	
124	eliminar_estatus	Eliminar Estatus	Permiso para Eliminar Estatus	31	1	2025-03-14 13:16:28	1	
125	crear_formatos	Crear Formatos	Permiso para Crear Formatos	32	1	2025-03-14 13:16:28	1	
126	editar_formatos	Editar Formatos	Permiso para Editar Formatos	32	1	2025-03-14 13:16:28	1	
127	ver_formatos	Ver Formatos	Permiso para Ver Formatos	32	1	2025-03-14 13:16:28	1	
128	eliminar_formatos	Eliminar Formatos	Permiso para Eliminar Formatos	32	1	2025-03-14 13:16:28	1	
129	crear_formatos_reportes	Crear Formatos Reportes	Permiso para Crear Formatos Reportes	33	1	2025-03-14 13:16:28	1	
130	editar_formatos_reportes	Editar Formatos Reportes	Permiso para Editar Formatos Reportes	33	1	2025-03-14 13:16:28	1	
131	ver_formatos_reportes	Ver Formatos Reportes	Permiso para Ver Formatos Reportes	33	1	2025-03-14 13:16:28	1	
132	eliminar_formatos_reportes	Eliminar Formatos Reportes	Permiso para Eliminar Formatos Reportes	33	1	2025-03-14 13:16:28	1	
133	crear_internos_externos	Crear Internos Externos	Permiso para Crear Internos Externos	34	1	2025-03-14 13:16:28	1	
134	editar_internos_externos	Editar Internos Externos	Permiso para Editar Internos Externos	34	1	2025-03-14 13:16:28	1	
135	ver_internos_externos	Ver Internos Externos	Permiso para Ver Internos Externos	34	1	2025-03-14 13:16:28	1	
136	eliminar_internos_externos	Eliminar Internos Externos	Permiso para Eliminar Internos Externos	34	1	2025-03-14 13:16:28	1	
137	crear_listas_compras	Crear Listas Compras	Permiso para Crear Listas Compras	35	1	2025-03-14 13:16:28	1	
138	editar_listas_compras	Editar Listas Compras	Permiso para Editar Listas Compras	35	1	2025-03-14 13:16:28	1	
139	ver_listas_compras	Ver Listas Compras	Permiso para Ver Listas Compras	35	1	2025-03-14 13:16:28	1	
140	eliminar_listas_compras	Eliminar Listas Compras	Permiso para Eliminar Listas Compras	35	1	2025-03-14 13:16:28	1	
141	crear_marcas	Crear Marcas	Permiso para Crear Marcas	36	1	2025-03-14 13:16:28	1	
142	editar_marcas	Editar Marcas	Permiso para Editar Marcas	36	1	2025-03-14 13:16:28	1	
143	ver_marcas	Ver Marcas	Permiso para Ver Marcas	36	1	2025-03-14 13:16:28	1	
144	eliminar_marcas	Eliminar Marcas	Permiso para Eliminar Marcas	36	1	2025-03-14 13:16:28	1	
145	crear_modulos	Crear Modulos	Permiso para Crear Modulos	37	1	2025-03-14 13:16:28	1	
146	editar_modulos	Editar Modulos	Permiso para Editar Modulos	37	1	2025-03-14 13:16:28	1	
147	ver_modulos	Ver Modulos	Permiso para Ver Modulos	37	1	2025-03-14 13:16:28	1	
148	eliminar_modulos	Eliminar Modulos	Permiso para Eliminar Modulos	37	1	2025-03-14 13:16:28	1	
149	crear_municipios	Crear Municipios	Permiso para Crear Municipios	38	1	2025-03-14 13:16:28	1	
150	editar_municipios	Editar Municipios	Permiso para Editar Municipios	38	1	2025-03-14 13:16:28	1	
151	ver_municipios	Ver Municipios	Permiso para Ver Municipios	38	1	2025-03-14 13:16:28	1	
152	eliminar_municipios	Eliminar Municipios	Permiso para Eliminar Municipios	38	1	2025-03-14 13:16:28	1	
153	crear_ordenes_compras	Crear Ordenes Compras	Permiso para Crear Ordenes Compras	39	1	2025-03-14 13:16:28	1	
154	editar_ordenes_compras	Editar Ordenes Compras	Permiso para Editar Ordenes Compras	39	1	2025-03-14 13:16:28	1	
155	ver_ordenes_compras	Ver Ordenes Compras	Permiso para Ver Ordenes Compras	39	1	2025-03-14 13:16:28	1	
156	eliminar_ordenes_compras	Eliminar Ordenes Compras	Permiso para Eliminar Ordenes Compras	39	1	2025-03-14 13:16:28	1	
157	crear_paises	Crear Paises	Permiso para Crear Paises	40	1	2025-03-14 13:16:28	1	
158	editar_paises	Editar Paises	Permiso para Editar Paises	40	1	2025-03-14 13:16:28	1	
159	ver_paises	Ver Paises	Permiso para Ver Paises	40	1	2025-03-14 13:16:28	1	
160	eliminar_paises	Eliminar Paises	Permiso para Eliminar Paises	40	1	2025-03-14 13:16:28	1	
161	crear_planeaciones_actividades	Crear Planeaciones Actividades	Permiso para Crear Planeaciones Actividades	41	1	2025-03-14 13:16:28	1	
162	editar_planeaciones_actividades	Editar Planeaciones Actividades	Permiso para Editar Planeaciones Actividades	41	1	2025-03-14 13:16:28	1	
163	ver_planeaciones_actividades	Ver Planeaciones Actividades	Permiso para Ver Planeaciones Actividades	41	1	2025-03-14 13:16:28	1	
164	eliminar_planeaciones_actividades	Eliminar Planeaciones Actividades	Permiso para Eliminar Planeaciones Actividades	41	1	2025-03-14 13:16:28	1	
165	crear_planeaciones_rrhh	Crear Planeaciones Rrhh	Permiso para Crear Planeaciones Rrhh	42	1	2025-03-14 13:16:28	1	
166	editar_planeaciones_rrhh	Editar Planeaciones Rrhh	Permiso para Editar Planeaciones Rrhh	42	1	2025-03-14 13:16:28	1	
167	ver_planeaciones_rrhh	Ver Planeaciones Rrhh	Permiso para Ver Planeaciones Rrhh	42	1	2025-03-14 13:16:28	1	
168	eliminar_planeaciones_rrhh	Eliminar Planeaciones Rrhh	Permiso para Eliminar Planeaciones Rrhh	42	1	2025-03-14 13:16:28	1	
169	crear_presentaciones	Crear Presentaciones	Permiso para Crear Presentaciones	43	1	2025-03-14 13:16:28	1	
170	editar_presentaciones	Editar Presentaciones	Permiso para Editar Presentaciones	43	1	2025-03-14 13:16:28	1	
171	ver_presentaciones	Ver Presentaciones	Permiso para Ver Presentaciones	43	1	2025-03-14 13:16:28	1	
172	eliminar_presentaciones	Eliminar Presentaciones	Permiso para Eliminar Presentaciones	43	1	2025-03-14 13:16:28	1	
173	crear_proveedores	Crear Proveedores	Permiso para Crear Proveedores	44	1	2025-03-14 13:16:28	1	
174	editar_proveedores	Editar Proveedores	Permiso para Editar Proveedores	44	1	2025-03-14 13:16:28	1	
175	ver_proveedores	Ver Proveedores	Permiso para Ver Proveedores	44	1	2025-03-14 13:16:28	1	
176	eliminar_proveedores	Eliminar Proveedores	Permiso para Eliminar Proveedores	44	1	2025-03-14 13:16:28	1	
177	crear_proyectos	Crear Proyectos	Permiso para Crear Proyectos	45	1	2025-03-14 13:16:28	1	
178	editar_proyectos	Editar Proyectos	Permiso para Editar Proyectos	45	1	2025-03-14 13:16:28	1	
179	ver_proyectos	Ver Proyectos	Permiso para Ver Proyectos	45	1	2025-03-14 13:16:28	1	
180	eliminar_proyectos	Eliminar Proyectos	Permiso para Eliminar Proyectos	45	1	2025-03-14 13:16:28	1	
181	crear_recepciones_compras	Crear Recepciones Compras	Permiso para Crear Recepciones Compras	46	1	2025-03-14 13:16:28	1	
182	editar_recepciones_compras	Editar Recepciones Compras	Permiso para Editar Recepciones Compras	46	1	2025-03-14 13:16:28	1	
183	ver_recepciones_compras	Ver Recepciones Compras	Permiso para Ver Recepciones Compras	46	1	2025-03-14 13:16:28	1	
184	eliminar_recepciones_compras	Eliminar Recepciones Compras	Permiso para Eliminar Recepciones Compras	46	1	2025-03-14 13:16:28	1	
185	crear_regimenes_fiscales	Crear Regimenes Fiscales	Permiso para Crear Regimenes Fiscales	47	1	2025-03-14 13:16:28	1	
186	editar_regimenes_fiscales	Editar Regimenes Fiscales	Permiso para Editar Regimenes Fiscales	47	1	2025-03-14 13:16:28	1	
187	ver_regimenes_fiscales	Ver Regimenes Fiscales	Permiso para Ver Regimenes Fiscales	47	1	2025-03-14 13:16:28	1	
188	eliminar_regimenes_fiscales	Eliminar Regimenes Fiscales	Permiso para Eliminar Regimenes Fiscales	47	1	2025-03-14 13:16:28	1	
189	crear_sitios	Crear Sitios	Permiso para Crear Sitios	48	1	2025-03-14 13:16:28	1	
190	editar_sitios	Editar Sitios	Permiso para Editar Sitios	48	1	2025-03-14 13:16:28	1	
191	ver_sitios	Ver Sitios	Permiso para Ver Sitios	48	1	2025-03-14 13:16:28	1	
192	eliminar_sitios	Eliminar Sitios	Permiso para Eliminar Sitios	48	1	2025-03-14 13:16:28	1	
193	crear_subcategorias	Crear Subcategorias	Permiso para Crear Subcategorias	49	1	2025-03-14 13:16:28	1	
194	editar_subcategorias	Editar Subcategorias	Permiso para Editar Subcategorias	49	1	2025-03-14 13:16:28	1	
195	ver_subcategorias	Ver Subcategorias	Permiso para Ver Subcategorias	49	1	2025-03-14 13:16:28	1	
196	eliminar_subcategorias	Eliminar Subcategorias	Permiso para Eliminar Subcategorias	49	1	2025-03-14 13:16:28	1	
197	crear_sucursales	Crear Sucursales	Permiso para Crear Sucursales	50	1	2025-03-14 13:16:28	1	
198	editar_sucursales	Editar Sucursales	Permiso para Editar Sucursales	50	1	2025-03-14 13:16:28	1	
199	ver_sucursales	Ver Sucursales	Permiso para Ver Sucursales	50	1	2025-03-14 13:16:28	1	
200	eliminar_sucursales	Eliminar Sucursales	Permiso para Eliminar Sucursales	50	1	2025-03-14 13:16:28	1	

201	crear_tablas	Crear Tablas	Permiso para Crear Tablas	51	1	2025-03-14 13:16:28	1	
202	editar_tablas	Editar Tablas	Permiso para Editar Tablas	51	1	2025-03-14 13:16:28	1	
203	ver_tablas	Ver Tablas	Permiso para Ver Tablas	51	1	2025-03-14 13:16:28	1	
204	eliminar_tablas	Eliminar Tablas	Permiso para Eliminar Tablas	51	1	2025-03-14 13:16:28	1	
205	crear_tipos_comentarios	Crear Tipos Comentarios	Permiso para Crear Tipos Comentarios	52	1	2025-03-14 13:16:28	1	
206	editar_tipos_comentarios	Editar Tipos Comentarios	Permiso para Editar Tipos Comentarios	52	1	2025-03-14 13:16:28	1	
